Crisis Period,Strategy,Return (%),Volatility (%),Sharpe Ratio,Max Drawdown (%)
COVID Crash,Buy & Hold,-52.05593221863214,178.50460546094314,-1.6173682155078362,-68.33256272643867
COVID Crash,LSTM,325.67438085776985,299.10025528434176,4.0023635372530775,-11.768360094461212
COVID Crash,TFT,331.20958311873574,299.1753431232558,4.029421747087575,-11.570724273449887
COVID Recovery,Buy & Hold,27.19959590265828,81.4490440606318,0.786665136235821,-41.78104965589268
COVID Recovery,LSTM,1158572.1742946529,571.2597632004076,3.377092145134845,-27.877087767199676
COVID Recovery,TFT,1260483.500402298,571.4296424098485,3.397517339905317,-29.385820916243766
Tech Correction 2022,Buy & Hold,34.186734523936856,74.18848555516922,1.1791843327886675,-39.256433628790525
Tech Correction 2022,LSTM,1253855070.3923938,1791.7139744776237,3.782805587090674,-23.59170001247622
Tech Correction 2022,TFT,1036020332.2791352,1784.3546236226298,3.7439864519674946,-25.018483370301414
Bear Market 2022,Buy & Hold,-16.916072751138845,79.29569735451906,-0.01165945639729119,-64.448878523743
Bear Market 2022,LSTM,23392457.891936954,2045.7833044063368,2.7213416051727477,-46.970305387861735
Bear Market 2022,TFT,26482669.75386837,2045.159136808224,2.732750117116829,-46.96164524349576
